PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2/21/2025,02:38.3,1,1,"Goldstein, Charlie",809709,Left,UGA_BUL,"Nowak, Luke",,Left,UIC_FLA,Windup,1,Top,0,0,0,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,89.128539,-1.714849,3.061293,2262.51885,142.344772,10:45,6.447564,-1.05299,5.562514,-15.031822,19.67896,-11.11059,3.592802,0.883637,80.961811,-4.562552,0.949861,0.424037,,,,,,,,,,,,6.134505,12.274335,0.793957,50,6.292743,-6.592692,-129.405048,-4.322624,11.806556,28.184061,-13.062813,UGA_BUL,UIC_FLA,Truist Park,College,CBB,fh84lobf,79b3841e-a506-3c1a-a72f-b7085484b179,87.61992,,,8.04764,2.564833,3.683794,-0.864052,,,,fh84lobf,2/21/2025,02:38.3,2025-02-21T13:02:38.3390231-05:00,2025-02-21T18:02:38.3390231Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,09611c14-683f-4f39-bf3d-4b859e148e21,54.134953,-130.302517,14.09203,6.423766,-3.906663,-6.531407,1.009875,-6.96865,5.903278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.664711,,1.790039,,,,,-3.721813,5.085304,0.274984,,,,-171.600921,86.633268,-4.882241,-95.365988,77.252913,-14.400365,12.696737,-6.800383,0.537481,,,,,,,,
2,2/21/2025,02:53.6,1,2,"Goldstein, Charlie",809709,Left,UGA_BUL,"Nowak, Luke",,Left,UIC_FLA,Windup,1,Top,0,1,0,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,89.460712,-2.781932,2.813189,2272.011562,143.774666,10:45,6.416453,-1.020804,5.565813,-15.279561,19.092749,-11.61626,2.542797,0.641224,81.637688,-5.663805,0.608969,0.421964,73.744985,53.154622,-131.988137,3764.117222,-72.415216,91.775586,-82.79703,231.624664,180.973284,-131.729631,4.769897,6.280766,12.213786,0.783614,50,6.169486,-6.036086,-129.858321,-6.770396,12.22267,27.456041,-12.931732,UGA_BUL,UIC_FLA,Truist Park,College,CBB,fh84lobf,72a8a24d-7802-3ff2-8fcd-a6ef3187f777,88.052113,93.024136,3.507895,7.708896,3.446737,2.742011,-0.617904,2.159671,2.60885,-0.64669,fh84lobf,2/21/2025,02:53.6,2025-02-21T13:02:53.6261675-05:00,2025-02-21T18:02:53.6261675Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,4a1356c0-86aa-4584-ab07-3397706c1d57,54.134149,-130.729485,13.728021,6.377797,-6.360079,-6.465866,0.981288,-6.423904,6.111335,178.927414,21.14361,-47.706435,5.595747,-1.255373,0.284652,-0.069443,0.014209,-0.001629,0.000075,-37.62214,107.529139,-27.306734,2.488707,-0.008969,-0.121245,0.027031,-0.002284,0.000063,20.265673,-52.552542,6.164173,-1.382896,0.313568,-0.076497,0.015652,-0.001795,0.000083,37.129221,,3.502482,,,,,-2.628217,6.850174,1.536571,,,,-274.22412,84.110382,-3.79777,-256.395459,125.198981,-14.809874,-3.781159,5.697725,-1.106577,,,,,,,,
3,2/21/2025,03:14.1,1,3,"Goldstein, Charlie",809709,Left,UGA_BUL,"Nowak, Luke",,Left,UIC_FLA,Windup,1,Top,0,1,1,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,87.891559,-1.142271,2.309312,2210.491993,148.137625,11:00,6.477445,-1.013651,5.435856,-17.61317,17.008087,-9.361356,3.940433,0.369862,82.295402,-4.432825,0.556262,0.42349,,,,,,,,,,,,4.863446,10.68999,0.81372,50,6.368323,-4.881674,-128.00382,-3.081442,9.490598,19.604522,-15.967261,UGA_BUL,UIC_FLA,Truist Park,College,CBB,fh84lobf,c958cb7e-7341-3a71-87d4-301745ddf4fc,87.514208,,,5.499361,2.929143,4.056299,-0.354446,,,,fh84lobf,2/21/2025,03:14.1,2025-02-21T13:03:14.1375011-05:00,2025-02-21T18:03:14.1375011Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,e1bedb9d-531a-4a40-a398-8fcdb25079cb,54.134669,-128.63551,9.802261,6.459324,-2.566951,-7.983631,0.975942,-5.187476,4.745299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.120319,,1.727273,,,,,-3.201236,5.263607,0.563311,,,,-169.416652,88.862147,-5.384268,-95.886914,79.817123,-15.244406,12.722736,-6.953182,0.604276,,,,,,,,
4,2/21/2025,03:32.2,1,4,"Goldstein, Charlie",809709,Left,UGA_BUL,"Nowak, Luke",,Left,UIC_FLA,Windup,1,Top,0,2,1,FourSeamFastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,89.388669,-1.741542,2.884824,2164.030812,143.216678,10:45,6.327495,-1.102767,5.658443,-15.925649,18.933869,-9.599362,3.376098,0.789722,80.344763,-4.775875,1.049934,0.424944,,,,,,,,,,,,5.468737,12.00527,0.863123,50,6.172922,-6.255355,-129.713987,-4.414831,10.436368,31.291458,-13.723839,UGA_BUL,UIC_FLA,Truist Park,College,CBB,fh84lobf,8f5bdadd-72c4-3642-8053-73fa744dad08,87.585695,,,8.928145,1.868046,3.413818,-0.781349,,,,fh84lobf,2/21/2025,03:32.2,2025-02-21T13:03:32.1662564-05:00,2025-02-21T18:03:32.1662564Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,99491fd9-09c4-4519-a015-c0455438f3ea,54.133264,-130.707269,15.645729,6.306147,-3.979197,-6.861919,1.066944,-6.586635,5.218184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.820414,,1.996053,,,,,-2.854839,5.430382,0.786037,,,,-172.806612,80.415238,-4.219747,-116.488255,86.441778,-14.904143,7.803948,-3.90182,0.414311,,,,,,,,
5,2/21/2025,03:51.4,1,5,"Goldstein, Charlie",809709,Left,UGA_BUL,"Nowak, Luke",,Left,UIC_FLA,Windup,1,Top,0,2,2,Slider,Undefined,StrikeCalled,Strikeout,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,81.397616,0.156986,1.434548,2383.898544,224.371191,1:30,6.428616,-1.477103,5.427125,-41.243453,0.322441,4.801566,3.139668,0.266638,74.40705,-7.644773,2.347846,0.464024,,,,,,,,,,,,-1.942144,2.917127,1.347926,50,6.424156,-3.0926,-118.325076,-0.78729,-3.118133,23.894191,-31.990388,UGA_BUL,UIC_FLA,Truist Park,College,CBB,fh84lobf,df5d7c62-a642-34f4-9c32-c96f1b654996,79.876969,,,6.862169,2.353744,3.264426,-0.228311,,,,fh84lobf,2/21/2025,03:51.4,2025-02-21T13:03:51.4310527-05:00,2025-02-21T18:03:51.4310527Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,adfa59fd-e65f-41f3-8754-5483f91afc61,54.134446,-119.157048,11.947096,6.432177,0.326584,-15.995194,1.453717,-2.98403,-1.559066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.648293,,2.01123,0.764205,,,,3.621057,5.863924,3.466682,66.556563,9.771354,58.954886,-442.426916,254.969521,-30.205498,-119.06325,85.128046,-14.001613,-343.055482,191.484251,-20.801656,,,,,,,,
6,2/21/2025,04:26.2,2,1,"Goldstein, Charlie",809709,Left,UGA_BUL,"Bessette, Jackson",,Right,UIC_FLA,Windup,1,Top,1,0,0,Changeup,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,79.939507,-2.394633,2.576309,2273.024398,114.654017,9:45,6.402509,-1.330619,5.553533,-30.562352,12.681535,-13.31083,1.6176,-0.030998,72.941045,-8.160695,0.042047,0.473297,,,,,,,,,,,,7.092923,9.672494,1.114048,50,6.181685,-4.869932,-116.043466,-5.664042,10.946024,23.176078,-21.748944,UGA_BUL,UIC_FLA,Truist Park,College,CBB,fh84lobf,d0beb91a-a590-32be-900a-2d36923a8baa,78.486881,,,6.890682,1.453915,1.622928,0.031025,,,,fh84lobf,2/21/2025,04:26.2,2025-02-21T13:04:26.1701207-05:00,2025-02-21T18:04:26.1701207Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,a54f32a2-de02-4de5-88de-6ab2dcb3fc22,54.133272,-116.866043,11.588039,6.369017,-4.892118,-10.874472,1.293789,-5.258434,5.473012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.137764,,2.339304,,,,,-3.037809,5.324693,0.59721,,,,-209.011042,85.85795,-4.489022,-143.237369,94.697821,-14.889308,-9.149804,8.185878,-1.678302,,,,,,,,
7,2/21/2025,04:43.5,2,2,"Goldstein, Charlie",809709,Left,UGA_BUL,"Bessette, Jackson",,Right,UIC_FLA,Windup,1,Top,1,1,0,Changeup,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,80.711717,-1.158135,3.140373,2136.755356,121.101683,10:00,6.329329,-1.371958,6.203165,-29.214991,13.383947,-16.660933,2.825729,0.14092,72.979164,-6.712303,-0.042491,0.469754,,,,,,,,,,,,8.93856,9.666242,1.14396,50,6.228757,-5.991273,-117.255094,-3.148388,13.965945,25.199659,-21.540815,UGA_BUL,UIC_FLA,Truist Park,College,CBB,fh84lobf,b51201c6-f7c6-3eea-878c-4ae036a6e6dc,80.004903,,,7.708502,1.923231,2.885043,-0.141137,,,,fh84lobf,2/21/2025,04:43.5,2025-02-21T13:04:43.4955479-05:00,2025-02-21T18:04:43.4955479Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,92279779-dfa8-4aac-92c9-3fd551135015,54.133317,-118.140059,12.59983,6.32604,-2.391915,-10.770407,1.362974,-6.481731,6.982972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.216686,,1.714975,,,,,-2.280682,6.554797,1.846606,,,,-179.218276,93.259046,-5.616705,-88.713155,77.561888,-15.54226,13.164184,-5.864367,0.313116,,,,,,,,
8,2/21/2025,05:00.2,2,3,"Goldstein, Charlie",809709,Left,UGA_BUL,"Bessette, Jackson",,Right,UIC_FLA,Windup,1,Top,1,1,1,FourSeamFastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,88.217804,-1.301333,2.289006,2205.706631,144.019941,10:45,6.433176,-1.17922,5.660408,-19.105797,16.418159,-10.203547,3.627667,0.106089,79.86001,-4.932824,0.343782,0.428975,,,,,,,,,,,,5.538977,10.669635,0.990405,50,6.314479,-4.825949,-128.162734,-3.469467,10.396567,28.904945,-16.636684,UGA_BUL,UIC_FLA,Truist Park,College,CBB,fh84lobf,474aa05a-114c-394d-8656-94498e2a8986,86.762765,,,8.250002,2.224014,3.696956,-0.100995,,,,fh84lobf,2/21/2025,05:00.2,2025-02-21T13:05:00.2359779-05:00,2025-02-21T18:05:00.2359779Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,a7dab034-e872-4881-bec3-fa448f1bf0b5,54.133456,-129.091599,14.452472,6.417381,-2.934844,-8.318342,1.150856,-5.160045,5.198284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.932463,,2.292729,,,,,-3.41804,6.453957,1.094526,,,,-225.198589,95.200163,-5.038845,-116.527343,81.824276,-13.461739,6.956008,-3.04176,0.326322,,,,,,,,
9,2/21/2025,05:18.0,2,4,"Goldstein, Charlie",809709,Left,UGA_BUL,"Bessette, Jackson",,Right,UIC_FLA,Windup,1,Top,1,1,2,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,87.228351,-0.755418,1.959178,2141.602815,142.312189,10:45,6.455197,-1.199375,5.812788,-18.530688,17.593493,-9.404985,4.20873,-0.160784,79.317045,-4.273183,0.170225,0.432584,,,,,,,,,,,,5.031363,11.109151,1.043378,50,6.384809,-4.06717,-126.851199,-2.209478,9.303875,27.101578,-16.142393,UGA_BUL,UIC_FLA,Truist Park,College,CBB,fh84lobf,8327b3dd-3695-35ad-a804-06c3b86bae26,86.272802,,,7.831112,1.541036,4.218088,0.161162,,,,fh84lobf,2/21/2025,05:18.0,2025-02-21T13:05:18.0044086-05:00,2025-02-21T18:05:18.0044086Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,8664f80a-38cd-44d9-9c0d-36de5eae1c14,54.134513,-127.731478,13.550789,6.448059,-1.685162,-8.071196,1.18039,-4.369367,4.651938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.926252,,2.238823,,,,,-2.785007,5.328437,1.242356,,,,-204.202171,87.271186,-4.444742,-130.141916,89.740945,-14.610165,8.461811,-3.445408,0.278099,,,,,,,,
10,2/21/2025,05:40.7,2,5,"Goldstein, Charlie",809709,Left,UGA_BUL,"Bessette, Jackson",,Right,UIC_FLA,Windup,1,Top,1,2,2,Changeup,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,79.255992,-2.139548,1.865031,2191.602889,114.840158,9:45,6.312693,-1.59025,6.123379,-33.587882,10.92973,-17.080614,1.535174,-1.289086,71.391046,-8.525177,-1.415187,0.480217,,,,,,,,,,,,8.853272,8.930062,1.455608,50,6.133624,-3.306742,-115.112955,-5.170905,13.194324,26.087899,-23.29038,UGA_BUL,UIC_FLA,Truist Park,College,CBB,fh84lobf,ce6bc719-0a78-368e-bd1e-ab4996529378,78.153164,,,7.828531,2.335941,1.672137,1.26689,,,,fh84lobf,2/21/2025,05:40.7,2025-02-21T13:05:40.7434899-05:00,2025-02-21T18:05:40.7434899Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,6281a089-43c6-459a-8c09-dd3dec61c0a6,54.134674,-116.046208,13.043949,6.303702,-4.337729,-11.64519,1.582345,-3.778748,6.597162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.093388,,1.611046,0.781508,,,,-0.04645,6.009957,8.144603,70.748519,6.547802,54.762931,-253.795482,143.723106,-10.704118,-78.970149,69.716199,-13.905656,-127.31167,68.500473,-1.782571,,,,,,,,
