PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2/23/2025,02:43.8,1,1,"Quinn, JT",,Right,GEO_BUL,"Nowak, Luke",,Left,UIC_FLA,Stretch,1,Top,0,0,0,Sinker,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,94.573255,-1.68244,-1.473204,1745.693665,209.754913,1:00,6.789903,0.450735,6.470549,-22.954167,7.485817,14.635537,3.331686,0.317263,87.016965,-6.008832,1.299918,0.397094,,,,,,,,,,,,-7.374033,6.059207,-0.354024,50,6.660662,3.079614,-137.739914,-4.772721,-16.229127,29.546627,-23.387177,GEO_BUL,UIC_FLA,Truist Park,College,CBB,63a17kz2,9b996aad-e298-34e8-a6dc-a80b32204aaa,95.103235,,,7.571302,3.738739,3.571764,-0.267386,,,,63a17kz2,2/23/2025,02:43.8,2025-02-23T11:02:43.8330713-05:00,2025-02-23T16:02:43.8330713Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,cf76e61c-690f-4b20-902b-2e98aa9adaff,54.133778,-138.623816,14.773314,6.792975,-4.073082,-11.693588,-0.453414,3.565116,-8.114563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.975911,,2.421516,,,,,-2.821378,5.60979,0.722731,,,,-235.952202,95.355919,-4.486177,-142.131305,90.94291,-13.668667,3.026239,-2.748882,0.685313,,,,,,,,
2,2/23/2025,02:59.2,1,2,"Quinn, JT",,Right,GEO_BUL,"Nowak, Luke",,Left,UIC_FLA,Stretch,1,Top,0,1,0,Sinker,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.729698,-2.004066,-1.775945,1791.012745,202.088803,12:45,6.791976,0.155993,6.685619,-19.893244,11.14655,12.491734,3.300764,-0.427718,86.043091,-5.757312,0.592869,0.400988,,,,,,,,,,,,-6.427088,7.945039,-0.04359,50,6.649104,3.841335,-136.497098,-5.400743,-13.863444,29.514291,-19.575767,GEO_BUL,UIC_FLA,Truist Park,College,CBB,63a17kz2,8e52dbb1-2e8b-327c-861b-746cf462346a,94.550322,,,7.732993,3.757949,3.532989,0.449498,,,,63a17kz2,2/23/2025,02:59.2,2025-02-23T11:02:59.1684833-05:00,2025-02-23T16:02:59.1684833Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,7f5410a6-ea1c-4f9f-8808-484a4359ea62,54.134165,-137.388106,14.757146,6.803227,-4.80977,-9.787884,-0.165874,4.259859,-6.931722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.135805,,1.621307,,,,,-3.662505,5.441075,0.633436,,,,-196.212764,107.55404,-6.102124,-74.499789,65.787781,-12.984261,-3.994495,0.889887,0.691575,,,,,,,,
3,2/23/2025,03:16.9,1,3,"Quinn, JT",,Right,GEO_BUL,"Nowak, Luke",,Left,UIC_FLA,Stretch,1,Top,0,1,1,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,94.295643,0.903801,0.311188,1615.416587,207.509026,1:00,6.910855,0.571325,6.313834,-14.796034,15.89371,7.530093,6.510349,1.485448,86.105831,-1.903348,1.740153,0.39872,,,,,,,,,,,,-3.545497,9.502248,-0.59761,50,6.969921,-0.982778,-137.358529,1.701773,-7.729411,30.368622,-15.990691,GEO_BUL,UIC_FLA,Truist Park,College,CBB,63a17kz2,269ed614-c5fd-3d9d-aab1-39bb36983f91,94.444634,,,8.181777,2.515963,6.546271,-1.452361,,,,63a17kz2,2/23/2025,03:16.9,2025-02-23T11:03:16.9199716-05:00,2025-02-23T16:03:16.9199716Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,9f92855e-5cfb-4397-85e0-863f487877f7,54.132865,-138.269246,15.184311,6.911697,2.181314,-7.995346,-0.571614,-0.750983,-3.864705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.363127,,4.451068,,,,,-6.724164,6.738076,3.120116,,,,-254.979459,61.003599,-2.023742,-462.880738,173.016855,-15.70873,10.082055,-1.506615,0.014661,,,,,,,,
4,2/23/2025,03:41.4,1,4,"Quinn, JT",,Right,GEO_BUL,"Nowak, Luke",,Left,UIC_FLA,Stretch,1,Top,0,2,1,Sinker,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.794019,-4.295819,-3.270911,2193.722016,203.186988,12:45,6.711381,0.483213,6.637479,-17.818338,13.33287,15.730939,1.286991,-1.203218,86.309417,-7.626616,-0.29383,0.401707,,,,,,,,,,,,-8.316702,9.558005,-0.269883,50,6.412406,7.288577,-136.140742,-10.797874,-17.890606,28.740205,-16.160073,GEO_BUL,UIC_FLA,Truist Park,College,CBB,63a17kz2,656d2f2c-5284-3667-a1ab-26e6f6cc1f72,94.299635,,,7.523106,3.071664,1.507022,1.193183,,,,63a17kz2,2/23/2025,03:41.4,2025-02-23T11:03:41.4402318-05:00,2025-02-23T16:03:41.4402318Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,859f3ecb-d796-4c8f-8054-f356d95667cc,54.13476,-137.010836,14.370102,6.7319,-10.308636,-8.080037,-0.49874,7.830206,-8.945303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.472644,,1.786742,,,,,-2.269712,5.812473,0.754646,,,,-192.886497,98.953339,-5.415659,-89.452233,71.895428,-12.9611,0.754811,-1.823101,0.833023,,,,,,,,
5,2/23/2025,03:58.7,1,5,"Quinn, JT",,Right,GEO_BUL,"Nowak, Luke",,Left,UIC_FLA,Stretch,1,Top,0,3,1,Sinker,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.710326,-3.717658,-2.746803,2157.379699,210.078583,1:00,6.789039,0.323943,6.768122,-21.644665,10.036128,12.889652,1.58617,-1.111938,85.783568,-7.76295,-0.311497,0.405107,,,,,,,,,,,,-6.792093,7.820039,-0.150961,50,6.536115,6.066271,-134.784399,-9.438669,-14.387651,27.030005,-20.174656,GEO_BUL,UIC_FLA,Truist Park,College,CBB,63a17kz2,fc828455-ebb2-3a8b-b51e-a3d7fac69c12,93.732991,,,6.980066,1.417593,1.586429,1.111928,,,,63a17kz2,2/23/2025,03:58.7,2025-02-23T11:03:58.7027914-05:00,2025-02-23T16:03:58.7027914Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,f5e3a87c-4586-4957-9dd1-8323767f499b,54.134677,-135.611043,13.515003,6.815338,-8.821678,-10.087328,-0.343211,6.506281,-7.193826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.484638,,2.05988,,,,,-3.750157,5.369978,0.894405,,,,-187.539319,84.287583,-3.94633,-127.308765,90.085739,-14.710178,0.987348,-2.087191,0.831439,,,,,,,,
6,2/23/2025,04:35.9,2,1,"Quinn, JT",,Right,GEO_BUL,"Bessette, Jackson",,Right,UIC_FLA,Stretch,1,Top,0,0,0,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,83.858074,-2.975114,-0.55087,2504.280143,54.22233,7:45,6.7782,0.464901,6.843201,-43.726514,-4.978912,-7.816281,0.419516,-0.688693,78.176958,-11.118086,-2.031763,0.448016,,,,,,,,,,,,3.625013,0.93912,-0.426096,50,6.567742,1.393117,-122.115163,-7.572024,6.265616,23.362153,-35.092754,GEO_BUL,UIC_FLA,Truist Park,College,CBB,63a17kz2,7ccbbbed-f78e-33ac-b612-6b4bf8e8a331,84.869582,,,5.73785,1.711532,0.477544,0.678224,,,,63a17kz2,2/23/2025,04:35.9,2025-02-23T11:04:35.8806875-05:00,2025-02-23T16:04:35.8806875Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,c57d68a6-87da-4b30-a40f-471240d4e8fa,54.13391,-122.903487,11.681077,6.803271,-6.387867,-17.546377,-0.469538,1.181692,3.132808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.955463,,3.817181,,,,,1.889386,6.184593,2.349697,,,,-496.549539,150.458949,-7.87702,-315.898582,141.373013,-15.440964,27.276552,-10.733209,1.146246,,,,,,,,
7,2/23/2025,04:57.0,2,2,"Quinn, JT",,Right,GEO_BUL,"Bessette, Jackson",,Right,UIC_FLA,Stretch,1,Top,0,1,0,FourSeamFastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.176857,-2.384318,-1.269959,2191.399344,198.819661,12:45,6.782154,0.42011,6.62729,-14.913487,16.460209,12.563321,3.355268,0.30418,85.577496,-5.196371,1.110964,0.403139,,,,,,,,,,,,-6.332467,10.59995,-0.340177,50,6.613837,2.616687,-135.68895,-6.115567,-13.521261,28.743725,-14.089718,GEO_BUL,UIC_FLA,Truist Park,College,CBB,63a17kz2,2447a179-1dc2-38c0-80a3-aebb1962e949,93.947026,,,7.636551,3.079197,3.504986,-0.273188,,,,63a17kz2,2/23/2025,04:57.0,2025-02-23T11:04:57.0128100-05:00,2025-02-23T16:04:57.0128100Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,720f5cf4-533b-42ae-9da3-3e74ab939c5c,54.134731,-136.562024,14.371862,6.793095,-5.6876,-7.044859,-0.425894,3.027388,-6.760631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.641159,,2.026209,,,,,-3.614835,4.92269,1.694123,,,,-254.088812,119.375726,-6.698354,-100.155099,74.712964,-12.949774,4.619125,-3.711529,1.032169,,,,,,,,
8,2/23/2025,05:17.4,2,3,"Quinn, JT",,Right,GEO_BUL,"Bessette, Jackson",,Right,UIC_FLA,Stretch,1,Top,0,1,1,Sinker,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.495195,-3.768121,-2.358502,1929.652501,207.563639,1:00,6.690673,0.471648,6.694242,-22.192868,9.121108,12.378984,1.390873,-0.654597,86.057061,-7.928195,-0.011958,0.402755,,,,,,,,,,,,-6.51108,7.422037,-0.320712,50,6.429408,5.211429,-135.895545,-9.648151,-13.922929,29.2267,-20.839292,GEO_BUL,UIC_FLA,Truist Park,College,CBB,63a17kz2,63b28636-f91b-342d-893b-4f2f3d9a8104,94.150425,,,7.484539,2.90051,1.595974,0.653307,,,,63a17kz2,2/23/2025,05:17.4,2025-02-23T11:05:17.3673715-05:00,2025-02-23T16:05:17.3673715Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,313e71e2-91b9-4c2b-b161-b862be10de0b,54.134224,-136.781792,14.61335,6.71239,-9.016237,-10.419646,-0.48514,5.633616,-6.961464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.020168,,2.027835,,,,,-3.885621,4.569093,2.160881,,,,-243.929413,113.471763,-6.052875,-114.813487,83.844081,-14.287615,15.377615,-11.365189,2.438719,,,,,,,,
9,2/23/2025,05:38.2,2,4,"Quinn, JT",,Right,GEO_BUL,"Bessette, Jackson",,Right,UIC_FLA,Stretch,1,Top,0,2,1,Sinker,Undefined,InPlay,Undefined,GroundBall,Single,0,0,ReportType:HE|Version:1|Revision:0,92.13821,-3.096793,-2.205545,2137.319765,199.993456,12:45,6.76008,0.361827,6.73167,-20.290244,12.106111,14.593796,2.23695,-0.438327,84.115094,-6.925141,0.571299,0.409656,96.353533,-5.824362,-22.379912,7698.642902,,,,19.700188,18.764319,-19.966677,0.137329,-7.599088,8.828672,-0.223497,50,6.546614,4.714465,-133.984748,-7.873073,-15.665072,30.408788,-18.479017,GEO_BUL,UIC_FLA,Truist Park,College,CBB,63a17kz2,c70be00c-631f-3594-a6e6-8d4024bd5026,92.62601,2.234177,0.130398,8.07853,2.965423,2.423464,0.452509,1.076767,2.234177,0.47904,63a17kz2,2/23/2025,05:38.2,2025-02-23T11:05:38.2181357-05:00,2025-02-23T16:05:38.2181357Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,ab38d5de-acec-4b45-b77b-79b4f1e9385d,54.134483,-134.919835,15.204394,6.779979,-7.304833,-9.239509,-0.375875,5.196174,-7.832536,90.996357,-55.023734,143.039344,-17.312153,0.86523,,,,,,5.790777,-3.028804,-13.3839,-0.454163,,,,,,23.660499,-59.105721,7.153607,-0.357524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2/23/2025,06:15.3,3,1,"Quinn, JT",,Right,GEO_BUL,"Flanagan, Will",,Left,UIC_FLA,Stretch,1,Top,0,0,0,Curveball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,76.535036,0.327774,1.022947,2580.993088,32.823333,7:00,6.969686,0.323072,6.828022,-62.046292,-15.001529,-13.292328,2.098469,0.148532,70.443636,-11.37011,-1.515983,0.493659,23.007347,20.707992,-71.908065,856.238661,,,,28.330844,28.330844,-72.365412,0.901489,6.703922,-4.177201,-0.382514,50,6.962109,-1.655089,-111.497023,-0.929373,9.491056,22.426771,-42.562335,GEO_BUL,UIC_FLA,Truist Park,College,CBB,63a17kz2,cab6fd1e-c58f-394b-81bc-71ed1bd213ec,76.996199,4.385485,0.901489,6.155305,1.449205,2.105194,-0.149416,1.128406,2.106912,-0.191241,63a17kz2,2/23/2025,06:15.3,2025-02-23T11:06:15.2791970-05:00,2025-02-23T16:06:15.2791970Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,e06bc6cd-4379-4fa3-9171-37c25192dc71,54.133507,-112.325369,11.213386,6.967404,0.642693,-21.281168,-0.314908,-2.005647,4.745528,110.543202,-3.45207,6.791087,14.76276,-34.467039,43.001057,-32.361133,14.379223,-3.417096,0.324561,-2.902767,-16.245569,146.468221,-320.944249,371.510526,-254.634116,97.636526,-17.473185,0.713688,14.873523,-29.690533,-3.520276,7.378399,-7.248869,3.500164,-0.295625,-0.392437,0.113216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
