PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/11/2025,02:36.9,1,1,"Quinn, JT",,Right,GEO_BUL,"Palmese, Jamie",,Right,ETS_BUC,Stretch,1,Top,0,0,0,FourSeamFastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,91.43652,-4.075037,-2.157149,2122.699052,206.393675,1:00,7.07293,0.327372,6.337844,-5.287501,25.530967,8.15804,2.874532,-0.979578,89.127678,-5.036176,-0.660736,0.399555,,,,,,,,,,,,-3.969945,14.4377,-0.174676,50,6.773566,4.761272,-133.402859,-9.680603,-8.843313,8.669472,-4.868862,GEO_BUL,ETS_BUC,Truist Park,College,CBB,mprvb4lo,5ba36aeb-2e79-32db-898a-177494679ff2,94.287884,,,2.307585,1.552828,2.886538,0.978001,,,,mprvb4lo,3/11/2025,02:36.9,2025-03-11T15:02:36.8726641-04:00,2025-03-11T19:02:36.8726641Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,c36c03d3-634a-4463-ac44-3c4abb74ae9e,54.133603,-133.67122,4.334736,7.070894,-9.529889,-2.434431,-0.326296,5.035014,-4.421657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.858778,,2.058851,,,,,-3.262033,5.42107,1.017979,,,,-198.452375,90.701213,-4.598196,-131.442807,94.02726,-15.601775,-3.727304,1.117639,0.330533,,,,,,,,
2,3/11/2025,02:52.8,1,2,"Quinn, JT",,Right,GEO_BUL,"Palmese, Jamie",,Right,ETS_BUC,Stretch,1,Top,0,0,1,Slider,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,83.407931,-3.067436,-0.25303,2436.323605,70.607513,8:15,6.811805,0.323152,6.562683,-33.480933,4.51629,-4.427377,1.207307,-0.277732,79.779124,-9.228713,-1.078147,0.443657,,,,,,,,,,,,2.062685,5.230346,-0.303614,50,6.584547,0.664426,-121.66475,-7.481185,3.682125,15.107834,-27.539702,GEO_BUL,ETS_BUC,Truist Park,College,CBB,mprvb4lo,5245e85a-f1fe-360b-8853-3f056cb14762,85.270696,,,3.643757,6.50594,2.005408,0.185783,,,,mprvb4lo,3/11/2025,02:52.8,2025-03-11T15:02:52.7698353-04:00,2025-03-11T19:02:52.7698353Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,2e83f342-6b7e-4d77-979f-3a7438452092,54.134412,-122.177065,7.553917,6.822404,-6.547297,-13.769851,-0.324028,0.539563,1.841062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.365908,,1.795779,,,,,-2.015199,6.66223,2.321499,,,,-203.394718,102.870174,-5.780989,-87.15985,73.144261,-13.953907,4.311352,-2.057878,0.522152,,,,,,,,
3,3/11/2025,03:12.9,1,3,"Quinn, JT",,Right,GEO_BUL,"Palmese, Jamie",,Right,ETS_BUC,Stretch,1,Top,0,0,2,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,84.676208,-0.553497,0.253405,2646.659205,65.243935,8:15,6.834977,0.294516,6.149951,-39.357143,-1.613884,-4.777169,3.043896,0.130537,78.690101,-7.938195,-0.649192,0.442172,,,,,,,,,,,,2.344551,1.920437,-0.31149,50,6.774293,-0.40978,-123.402693,-2.312637,4.170768,22.270971,-33.334601,GEO_BUL,ETS_BUC,Truist Park,College,CBB,mprvb4lo,bf2b1345-8ef1-34a9-9d63-b6c40343ae98,84.911446,,,5.960009,2.438211,3.184876,-0.141934,,,,mprvb4lo,3/11/2025,03:12.9,2025-03-11T15:03:12.9133574-04:00,2025-03-11T19:03:12.9133574Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,61b79092-038d-4a5c-b638-2066be822c71,54.133755,-124.146487,11.135486,6.832939,-1.199347,-16.6673,-0.295478,-0.549073,2.085384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.385776,,2.670786,,,,,3.784319,6.84475,5.008798,,,,-216.83458,81.099118,-3.285659,-171.565527,104.359847,-15.113514,10.45208,-3.525054,0.570668,,,,,,,,
4,3/11/2025,03:40.4,1,4,"Quinn, JT",,Right,GEO_BUL,"Palmese, Jamie",,Right,ETS_BUC,Stretch,1,Top,0,1,2,Slider,Undefined,InPlay,Undefined,GroundBall,Out,1,0,ReportType:HE|Version:1|Revision:0,84.197343,-1.83315,0.323169,2495.764115,61.991537,8:00,6.778016,0.231422,6.582436,-40.521409,-2.364721,-3.363219,1.72093,0.247292,78.579208,-9.403172,-0.312178,0.444587,55.661737,15.581848,-16.776325,1174.908773,,,,94.236779,94.048236,-17.680563,1.325073,1.681804,1.86426,-0.251924,50,6.633412,-0.596964,-122.723459,-5.075445,2.959761,21.956737,-33.464869,GEO_BUL,ETS_BUC,Truist Park,College,CBB,mprvb4lo,305597a2-6145-3710-88bb-a128fc4e41a3,85.118907,8.330581,1.322081,5.643124,3.250551,2.020085,-0.256893,1.198533,1.701931,-0.16433,mprvb4lo,3/11/2025,03:40.4,2025-03-11T15:03:40.4361723-04:00,2025-03-11T19:03:40.4361723Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,8415bc17-1c5c-4f03-83ee-04a5f1b30332,54.134217,-123.460906,10.978368,6.785003,-3.951482,-16.732434,-0.230204,-0.696371,1.47988,109.540851,-33.228498,77.981056,5.303373,-24.928573,28.651356,-18.988079,7.290643,-1.476849,0.118113,-10.939715,29.5283,15.941766,-67.109133,73.766971,-47.169858,17.255768,-3.223348,0.219638,9.452269,-21.542881,0.324743,-2.765671,4.869225,-4.321391,2.245839,-0.638551,0.076642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3/11/2025,04:17.4,2,1,"Quinn, JT",,Right,GEO_BUL,"Jacklin, Blake",,Left,ETS_BUC,Stretch,1,Top,1,0,0,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,76.987646,-0.83963,-0.504993,2489.721091,35.804318,7:15,6.699266,0.261259,6.778812,-53.962424,-7.79018,-10.966475,1.436089,-1.113586,71.336338,-10.96092,-2.590018,0.48906,,,,,,,,,,,,5.153677,-0.42007,-0.223362,50,6.619637,1.26945,-112.195912,-3.024834,7.455045,21.184875,-37.291781,GEO_BUL,ETS_BUC,Truist Park,College,CBB,mprvb4lo,ad040f46-2546-3901-970d-60a37f420773,77.652609,,,5.702433,3.029962,1.743893,1.041614,,,,mprvb4lo,3/11/2025,04:17.4,2025-03-11T15:04:17.4494496-04:00,2025-03-11T19:04:17.4494496Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,8de46f5f-6627-4980-8f50-d955547debd6,54.133351,-112.973677,10.592437,6.705557,-1.655733,-18.645891,-0.264943,0.995751,3.727523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.553559,,1.684235,,,,,-3.82897,5.511239,0.441979,,,,-167.901436,84.588865,-4.184465,-94.404399,76.563076,-14.074856,-3.372669,2.033725,-0.128141,,,,,,,,
6,3/11/2025,04:34.7,2,2,"Quinn, JT",,Right,GEO_BUL,"Jacklin, Blake",,Left,ETS_BUC,Stretch,1,Top,1,1,0,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,95.620562,-3.458051,-1.570541,2202.239991,207.231979,1:00,6.795055,0.403259,5.995934,-13.581969,16.562031,5.649915,2.455246,-0.581516,87.057682,-6.023136,-0.495603,0.395159,,,,,,,,,,,,-3.124645,10.907626,-0.282399,50,6.516461,3.629036,-138.884657,-8.825225,-6.924025,32.585183,-12.511092,GEO_BUL,ETS_BUC,Truist Park,College,CBB,mprvb4lo,32155f22-b335-337d-b552-21345ffffd1d,94.754254,,,8.505317,18.571271,4.124767,0.374497,,,,mprvb4lo,3/11/2025,04:34.7,2025-03-11T15:04:34.7196685-04:00,2025-03-11T19:04:34.7196685Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,8ea36487-78db-4df3-912d-45bd8cb3d7a2,54.134417,-139.851312,16.292592,6.77276,-8.454078,-6.255546,-0.393103,3.83444,-3.462012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.613238,,4.159784,,,,,-2.606835,6.739715,0.950238,,,,-380.243633,101.36644,-3.611113,-359.152652,150.236519,-15.263048,2.369198,-2.821222,0.565421,,,,,,,,
7,3/11/2025,05:06.9,2,3,"Quinn, JT",,Right,GEO_BUL,"Jacklin, Blake",,Left,ETS_BUC,Stretch,1,Top,1,1,1,FourSeamFastball,Undefined,InPlay,Undefined,LineDrive,Out,1,0,ReportType:HE|Version:1|Revision:0,95.304553,-3.438498,-1.62328,2284.500072,204.916618,12:45,6.81823,0.331634,6.829834,-11.626312,17.851932,7.185347,2.70966,-0.550511,89.245323,-5.604253,-0.275828,0.390771,86.274117,9.14405,35.034176,2830.697891,87.460539,4.432675,66.718542,132.72412,121.213328,37.960102,1.220093,-3.718443,11.164887,-0.231039,50,6.592101,3.701863,-138.84402,-8.722143,-8.51546,23.756771,-11.245391,GEO_BUL,ETS_BUC,Truist Park,College,CBB,mprvb4lo,2dd1c8f2-0a0d-3189-ad2e-869f6aa0ad8c,97.285312,7.923421,1.099043,6.111887,2.012363,2.768115,0.547548,1.17588,2.641578,0.514641,mprvb4lo,3/11/2025,05:06.9,2025-03-11T15:05:06.8919843-04:00,2025-03-11T19:05:06.8919843Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,454818fb-6150-4188-b080-693f8aa902bf,54.133223,-139.549439,11.878385,6.846134,-8.388229,-5.622695,-0.344714,3.954716,-4.25773,268.675239,-40.967987,108.46592,13.187319,-68.934367,89.966367,-67.833055,29.948344,-7.0986,0.687299,-7.690804,27.703266,16.164773,-80.336827,100.397762,-72.77181,30.447028,-6.648923,0.560892,-27.475055,71.277038,2.767593,-11.101466,11.918062,-7.346875,2.33511,-0.252539,-0.019227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3/11/2025,05:43.6,3,1,"Quinn, JT",,Right,GEO_BUL,"Miller, Cody",,Right,ETS_BUC,Stretch,1,Top,2,0,0,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,84.994348,-2.627501,-0.783563,2566.489274,61.110125,8:00,6.759909,0.251129,6.734751,-36.69638,0.973817,-3.1893,1.299643,-0.730603,78.897081,-9.491101,-1.387604,0.441744,,,,,,,,,,,,1.349233,3.637868,-0.198136,50,6.56988,1.783715,-123.791567,-6.724547,2.39947,23.731407,-30.251038,GEO_BUL,ETS_BUC,Truist Park,College,CBB,mprvb4lo,1b2f4d78-2269-3d9c-80cf-30218a6b96c9,85.903478,,,6.142161,2.346805,1.454199,0.70815,,,,mprvb4lo,3/11/2025,05:43.6,2025-03-11T15:05:43.6215909-04:00,2025-03-11T19:05:43.6215909Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,53b97157-d335-4da7-a8bd-ad9ef90b3e25,54.133433,-124.581445,11.865704,6.776944,-5.717669,-15.125519,-0.256176,1.703851,1.199735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.747668,,2.111763,,,,,-3.356182,5.240499,1.26279,,,,-196.326747,85.237411,-3.785612,-130.172532,89.530057,-14.294002,-1.68929,1.077292,0.030858,,,,,,,,
9,3/11/2025,06:01.9,3,2,"Quinn, JT",,Right,GEO_BUL,"Miller, Cody",,Right,ETS_BUC,Stretch,1,Top,2,1,0,Slider,Undefined,InPlay,Undefined,GroundBall,Out,1,0,ReportType:HE|Version:1|Revision:0,83.741993,-1.803114,0.247592,2428.406069,74.155409,8:30,6.661058,0.215975,6.849302,-36.965602,1.411499,-4.61241,1.936492,0.057354,78.385417,-8.702639,-0.621709,0.445869,97.190816,-0.160173,-32.012011,2179.787732,,,,46.239566,42.670495,-31.259806,0.327759,2.257011,3.669893,-0.229578,50,6.528717,-0.397282,-122.140468,-4.891158,3.956102,20.638621,-30.340604,GEO_BUL,ETS_BUC,Truist Park,College,CBB,mprvb4lo,5716b976-d3ad-3f41-ade4-aab3a26ef30e,85.292789,2.090912,0.300436,5.409432,4.277275,2.363815,-0.087076,2.054731,2.090912,-0.090311,mprvb4lo,3/11/2025,06:01.9,2025-03-11T15:06:01.9328356-04:00,2025-03-11T19:06:01.9328356Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,b717aac7-52c4-4b5c-9c1c-157b28f0e81a,54.134526,-122.837111,10.31931,6.67653,-3.867032,-15.170302,-0.213914,-0.530818,1.978051,59.55801,94.126215,-1713.2609,9912.790376,-29847.95515,54641.08775,-61995.97719,42156.83682,-15431.11485,2243.949287,140.048785,-1723.285906,9158.097062,-26953.66873,47823.32515,-51876.92113,32899.59,-10653.54517,1178.081646,-58.82509,1092.933405,-6323.625164,19040.78198,-34856.96202,39548.83609,-26892.93573,9843.906985,-1431.473248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3/11/2025,09:08.8,1,1,"Curless, Tristan",,Left,ETS_BUC,"Alford, Slate",695477,Right,GEO_BUL,Stretch,1,Bottom,0,0,0,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,86.721463,-0.883713,2.635153,2305.950794,147.028997,11:00,6.248784,-3.096936,6.470015,-12.604606,22.812524,-6.916681,4.386854,-1.251835,81.355577,-3.237909,1.341968,0.42833,,,,,,,,,,,,3.739262,13.45332,2.914798,50,6.180474,-5.614906,-126.451159,-2.325736,7.138777,18.581177,-11.154041,GEO_BUL,ETS_BUC,Truist Park,College,CBB,mprvb4lo,7cd0c3ef-9fb6-3c0a-bc6c-29bd9e9d38d5,88.169961,,,5.376369,2.554446,4.450692,1.278798,,,,mprvb4lo,3/11/2025,09:08.8,2025-03-11T15:09:08.7702309-04:00,2025-03-11T19:09:08.7702309Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Smoot, Will",,Right,,aca39829-1c6b-4dbd-8c23-437527299723,54.134371,-127.057226,9.290588,6.250399,-1.961922,-5.57702,3.101739,-5.847753,3.569389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.597399,,1.830361,,,,,-4.189177,4.7562,3.261671,,,,-203.741658,100.779922,-5.503777,-103.052845,80.952535,-14.70843,-0.859344,3.513103,-0.747596,,,,,,,,
