PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/2/2025,02:40.8,1,1,"Quinn, JT",,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Stretch,1,Top,0,0,0,FourSeamFastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.898583,-3.228419,-1.440493,2068.622537,199.188183,12:45,6.888461,0.58442,6.166513,-15.960123,15.469338,6.833269,2.573665,-0.176812,85.974961,-6.219242,-0.150641,0.403497,,,,,,,,,,,,-3.581552,10.25097,-0.478694,50,6.63637,3.185264,-135.153344,-8.123906,-7.656136,26.272064,-14.843569,GEO_BUL,FGCU,Truist Park,College,CBB,tsh22o4v,29a91054-e8ba-35c5-a996-20fc4e7d04c2,93.079944,,,6.898152,3.318078,2.778879,0.170941,,,,tsh22o4v,3/2/2025,02:40.8,2025-03-02T13:02:40.7923223-05:00,2025-03-02T18:02:40.7923223Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,161d9000-69ea-47af-a247-3075968e36ea,54.134923,-135.954743,13.136032,6.877274,-7.67112,-7.421785,-0.579419,3.418806,-3.828068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.518466,,1.464715,,,,,-3.2017,5.655431,-0.407356,,,,-132.141189,76.102092,-3.792193,-76.624886,71.568693,-14.734111,-9.403482,5.950489,-0.607602,,,,,,,,
2,3/2/2025,02:59.3,1,2,"Quinn, JT",,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Stretch,1,Top,0,0,1,Curveball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,74.596926,0.991074,0.925228,2509.874543,34.299807,7:15,6.883524,0.467074,6.253038,-62.234314,-12.516713,-9.309609,2.611287,0.544479,68.310952,-10.778398,-0.854713,0.507489,,,,,,,,,,,,4.759988,-2.994244,-0.531325,50,6.928019,-1.524187,-108.536778,0.349334,6.372967,21.565688,-40.648219,GEO_BUL,FGCU,Truist Park,College,CBB,tsh22o4v,0ff3dcd2-eade-3423-8bca-4c18bc20ce1c,74.124351,,,6.270316,2.460272,2.807743,-0.559694,,,,tsh22o4v,3/2/2025,02:59.3,2025-03-02T13:02:59.3226342-05:00,2025-03-02T18:02:59.3226342Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,4c26954e-dccb-47e9-a1aa-b9c760997260,54.134698,-109.355235,10.782844,6.885488,1.892007,-20.32411,-0.46889,-1.766052,3.186484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.475824,,1.649341,,,,,-3.477748,6.479504,1.220209,,,,-170.247779,86.144332,-4.090376,-84.747916,73.45638,-14.446825,3.877112,-2.476652,0.577142,,,,,,,,
3,3/2/2025,03:20.6,1,3,"Quinn, JT",,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Stretch,1,Top,0,0,2,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,94.573936,-2.248773,-1.774519,2162.514098,206.388208,1:00,6.962057,0.743782,6.043783,-16.10484,14.191525,9.910345,3.537231,-0.073611,87.424301,-5.2742,0.095967,0.396156,78.23843,17.059989,-163.454648,687.830766,-105.458256,18.430323,-31.29053,188.017538,11.792469,-163.482189,2.06604,-5.126617,9.350466,-0.610415,50,6.779366,3.949566,-137.656762,-5.919987,-11.36897,27.245359,-16.019509,GEO_BUL,FGCU,Truist Park,College,CBB,tsh22o4v,0b58fc40-9bfd-3039-868d-9d14d08f2cc2,94.593347,18.899462,0.112544,7.106994,3.854421,3.758985,0.075622,0.352254,3.469535,0.064118,tsh22o4v,3/2/2025,03:20.6,2025-03-02T13:03:20.6406846-05:00,2025-03-02T18:03:20.6406846Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,64854902-2234-42b5-a906-ff1ec450edaa,54.13467,-138.472688,13.62268,6.94947,-5.440246,-8.009754,-0.733792,4.290037,-5.684485,178.997603,44.456731,-113.198068,9.3386,4.241848,-5.699616,3.284956,-1.048522,0.176483,-0.012066,-13.12155,47.883821,-14.453879,-9.557784,10.095262,-5.382158,1.594592,-0.240615,0.013704,13.133523,-33.543791,2.767292,1.25698,-1.688958,0.973425,-0.310707,0.052297,-0.003576,45.856034,,3.380451,,,,,-2.509812,6.726599,-0.322605,,,,-306.151225,94.720403,-3.791712,-256.949617,126.265136,-14.946445,1.310296,-1.975137,0.408506,,,,,,,,
4,3/2/2025,03:46.6,1,4,"Quinn, JT",,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Stretch,1,Top,0,0,2,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,95.788864,-3.310299,-1.587951,2208.730671,209.812966,1:00,6.955584,0.529386,6.054475,-14.612431,15.284863,6.273536,2.670763,-0.417887,87.618324,-6.064361,-0.397008,0.393539,67.469105,5.948304,-64.724505,782.461544,,,,80.583268,69.556052,-68.11478,0.899048,-3.405989,10.194123,-0.409089,50,6.691511,3.659184,-139.205092,-8.519766,-7.62151,31.380378,-13.893715,GEO_BUL,FGCU,Truist Park,College,CBB,tsh22o4v,e617470e-9e50-37a8-92b2-244a64b0ceb4,95.243919,4.492635,0.766908,8.124082,1.795627,2.710967,0.415227,0.121629,2.638453,0.364617,tsh22o4v,3/2/2025,03:46.6,2025-03-02T13:03:46.6239190-05:00,2025-03-02T18:03:46.6239190Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,cc990121-6666-4511-b16e-040242f55d3d,54.134699,-140.134059,15.690189,6.937637,-8.108465,-6.946858,-0.520753,3.884807,-3.810755,111.308856,-17.36355,34.152588,71.17205,-206.472985,301.129092,-265.703857,140.348791,-40.596172,4.910569,-2.270859,2.009876,75.425105,-206.677925,273.755376,-214.505623,94.953515,-20.39497,1.291753,36.362721,-85.595776,-26.564443,71.846696,-92.916036,70.389444,-29.32943,5.463996,-0.159251,45.912504,,3.316898,,,,,-2.426945,6.559857,0.936141,,,,-317.085497,103.020384,-4.90962,-248.714166,126.87105,-15.651028,-14.738987,5.270087,-0.281769,,,,,,,,
5,3/2/2025,04:22.2,1,5,"Quinn, JT",,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Stretch,1,Top,0,0,2,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.903095,-4.787271,-1.346736,2121.092994,206.146643,12:45,6.962068,0.288452,6.324183,-17.52886,13.810092,3.888744,1.082843,-0.627811,86.725734,-8.042064,-0.61514,0.402915,,,,,,,,,,,,-2.123943,9.700207,-0.192143,50,6.603869,3.051726,-134.995286,-11.857898,-4.564081,24.318659,-15.943717,GEO_BUL,FGCU,Truist Park,College,CBB,tsh22o4v,468ae602-21ef-3746-8980-254ce40972e6,93.479888,,,6.172512,3.291917,1.345635,0.607205,,,,tsh22o4v,3/2/2025,04:22.2,2025-03-02T13:04:22.2040044-05:00,2025-03-02T18:04:22.2040044Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,bcc89981-19ea-4254-bf93-33d9600e1d6c,54.13385,-135.737934,12.159329,6.958553,-11.371006,-7.971859,-0.287465,3.191104,-2.28204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.390511,,1.744886,,,,,-2.928507,5.224356,0.900713,,,,-151.478433,76.93523,-3.618453,-92.531295,77.424898,-14.857359,-4.239695,2.797342,-0.188106,,,,,,,,
6,3/2/2025,04:59.5,1,6,"Quinn, JT",,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,1,2,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_BUL,FGCU,Truist Park,College,CBB,tsh22o4v,ea092418-bbc2-408f-8fa1-ae8e6a0a582c,,,,,,,,,,,tsh22o4v,3/2/2025,04:59.5,2025-03-02T13:04:59.5240000-05:00,2025-03-02T18:04:59.5240000Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,ea092418-bbc2-408f-8fa1-ae8e6a0a582c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3/2/2025,05:09.0,1,7,"Quinn, JT",,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Stretch,1,Top,0,2,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,76.006575,-1.362546,0.008609,2533.7812,32.352605,7:00,6.866419,0.15333,6.53386,-61.673594,-14.062746,-10.298276,0.477078,-0.696956,70.571273,-12.893597,-1.954425,0.49662,,,,,,,,,,,,4.970668,-3.215935,-0.149113,50,6.743258,0.242414,-110.678195,-4.18386,6.9625,21.423937,-41.167532,GEO_BUL,FGCU,Truist Park,College,CBB,tsh22o4v,a94e360f-0698-3e50-ad94-4b29232c60f7,76.131469,,,5.456352,1.71212,0.544836,0.686864,,,,tsh22o4v,3/2/2025,05:09.0,2025-03-02T13:05:08.9742961-05:00,2025-03-02T18:05:08.9742961Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,108cfb25-187c-4dcb-b600-02d4be6cdba7,54.134592,-111.475654,10.711968,6.870473,-2.65149,-20.583766,-0.153313,-0.01675,3.48125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.53079,,3.916807,,,,,6.837273,6.831273,-2.080059,,,,-278.561228,76.959613,-2.785498,-335.54699,146.446659,-15.604685,-23.005894,4.915136,-0.039364,,,,,,,,
8,3/2/2025,05:30.4,1,8,"Quinn, JT",,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Stretch,1,Top,0,3,2,FourSeamFastball,Undefined,InPlay,Undefined,Popup,Out,1,0,ReportType:HE|Version:1|Revision:0,91.86183,-2.925905,-0.698726,1936.369992,203.370551,12:45,6.932334,0.299158,6.713581,-17.616415,14.413511,1.721129,2.787682,-0.196105,85.206648,-6.22788,-0.373968,0.407333,64.58499,50.882019,-2.665722,3201.144522,108.21838,76.740526,-19.710489,174.947039,171.196808,-12.303586,4.631958,-0.972069,9.709279,-0.253795,50,6.730459,1.578827,-133.823754,-7.385309,-2.039578,25.480188,-16.391029,GEO_BUL,FGCU,Truist Park,College,CBB,tsh22o4v,22037fe8-d412-39c5-8bfc-97c2072ea567,93.126787,79.305408,4.515654,6.698501,1.91686,2.842083,0.192827,1.506957,2.8893,0.11799,tsh22o4v,3/2/2025,05:30.4,2025-03-02T13:05:30.4421736-05:00,2025-03-02T18:05:30.4421736Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,55318ad1-809b-46f8-8b1c-470be1864dbe,54.133572,-134.60849,12.740094,6.950137,-6.8805,-8.195515,-0.303386,1.641641,-1.019789,167.41332,-26.917949,77.442645,-23.258151,7.051695,-1.43402,0.222582,-0.032126,0.003699,-0.000197,-29.983285,88.453151,-18.507528,-1.488576,1.663899,-0.627554,0.121777,-0.01177,0.000452,-0.209863,3.659275,-8.573492,3.285768,-0.798924,0.123923,-0.012127,0.000788,-0.000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3/2/2025,06:05.2,2,1,"Quinn, JT",,Right,GEO_BUL,"Moise, Mac",,Right,FGCU,Stretch,1,Top,1,0,0,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,84.83042,-2.037046,-0.212571,2500.748838,73.692966,8:30,6.851689,0.287187,6.735091,-39.050134,-1.809628,-4.461463,1.735711,-0.278803,79.921016,-9.294571,-1.051122,0.439217,,,,,,,,,,,,2.089134,2.080606,-0.271096,50,6.699197,0.587487,-123.731176,-5.525066,3.780713,19.887078,-33.030007,GEO_BUL,FGCU,Truist Park,College,CBB,tsh22o4v,82a8ef53-311b-35df-bf71-b25424e88792,86.40302,,,4.947171,3.268636,2.034295,0.245345,,,,tsh22o4v,3/2/2025,06:05.2,2025-03-02T13:06:05.1995605-05:00,2025-03-02T18:06:05.1995605Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,a82beac1-0606-4ad6-be18-282d19d85cf5,54.133832,-124.393824,9.943539,6.864959,-4.424487,-16.515004,-0.288572,0.461512,1.890356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.655495,,1.703943,,,,,-2.79283,6.469832,1.899165,,,,-173.604346,90.517035,-5.046896,-86.566889,74.126593,-14.331921,-0.685041,1.391902,-0.086839,,,,,,,,
10,3/2/2025,06:22.5,2,2,"Quinn, JT",,Right,GEO_BUL,"Moise, Mac",,Right,FGCU,Stretch,1,Top,1,0,1,Cutter,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,91.247284,-3.675193,-1.963694,2355.186791,179.077466,12:00,6.814883,0.484492,6.568713,-22.817434,9.435018,0.709816,1.540332,-1.25689,85.704547,-7.906952,-1.830559,0.408745,,,,,,,,,,,,-0.701909,7.408202,-0.350043,50,6.551287,4.53188,-132.81864,-9.24218,-1.468662,22.179616,-21.31245,GEO_BUL,FGCU,Truist Park,College,CBB,tsh22o4v,8f594f88-f204-3e5b-a708-e21324512970,92.561358,,,5.56429,3.833638,1.871626,1.179494,,,,tsh22o4v,3/2/2025,06:22.5,2025-03-02T13:06:22.4725301-05:00,2025-03-02T18:06:22.4725301Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,fb86ea62-a670-4673-aebe-94ac70ccc2d0,54.134136,-133.507222,11.089808,6.827946,-8.58052,-10.656225,-0.491446,4.577476,-0.734331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.565978,,2.360516,,,,,-2.826433,6.380063,2.12112,,,,-237.236946,99.011109,-5.186913,-137.158751,92.602209,-14.722099,1.934283,0.314414,-0.089174,,,,,,,,
