PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/4/2025,02:53.8,1,1,"Harris, Zach",,Right,GEO_BUL,Konni Durschlag,,Right,HIG_PAN,Stretch,1,Top,0,0,0,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.419193,-0.621605,-4.938416,2286.723667,218.940756,1:15,5.542553,3.268696,6.131466,-16.997762,14.386469,9.129309,3.551601,-0.545793,85.583142,-3.826698,-3.218036,0.403206,,,,,,,,,,,,-5.526923,9.195317,-2.89554,50,5.486967,11.431124,-135.588879,-2.005453,-11.803822,28.283398,-17.091193,GEO_BUL,HIG_PAN,Truist Park,College,CBB,4gu3rlnb,f130868a-5fd3-3bfe-adbe-e4893521921f,93.088568,,,7.802163,3.242712,3.671904,0.44205,,,,4gu3rlnb,3/4/2025,02:53.8,2025-03-04T15:02:53.7850942-05:00,2025-03-04T20:02:53.7850942Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,ffb180bd-c66e-4db5-b053-200a5eefb09b,54.134721,-136.448643,14.141699,5.540033,-1.485912,-8.545596,-3.248479,11.789939,-5.901911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.491182,,1.625279,,,,,-3.792292,5.341817,1.815176,,,,-178.44814,99.392745,-6.552377,-79.921536,70.389544,-13.979189,12.164981,-7.31016,1.088466,,,,,,,,
2,3/4/2025,03:11.4,1,2,"Harris, Zach",,Right,GEO_BUL,Konni Durschlag,,Right,HIG_PAN,Stretch,1,Top,0,1,0,Sinker,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,91.881601,-2.441994,-5.097348,26.429767,355.432399,5:45,5.53102,3.129882,6.254584,-23.265321,9.258699,16.760772,1.339209,-0.18588,84.360339,-6.804988,-1.934505,0.410463,,,,,,,,,,,,-9.238564,7.276792,-2.759109,50,5.338302,11.37155,-133.230462,-6.412868,-19.034388,27.516726,-21.731117,GEO_BUL,HIG_PAN,Truist Park,College,CBB,4gu3rlnb,7189f760-1ddc-37c6-8fe2-f8af0e728cd0,91.644831,,,7.50522,3.237763,1.55399,0.122359,,,,4gu3rlnb,3/4/2025,03:11.4,2025-03-04T15:03:11.4170101-05:00,2025-03-04T20:03:11.4170101Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,28ed684a-c014-49f5-bf7f-d6cf624725ce,54.133332,-134.081421,13.758363,5.526229,-5.74083,-10.865559,-3.119878,11.960191,-9.517194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.667457,,1.205128,,,,,-4.5952,5.082559,1.593264,,,,-127.71071,84.378814,-5.05956,-55.245737,61.058846,-14.680403,7.517834,-5.512088,1.141976,,,,,,,,
3,3/4/2025,03:31.8,1,3,"Harris, Zach",,Right,GEO_BUL,Konni Durschlag,,Right,HIG_PAN,Stretch,1,Top,0,1,1,Sinker,Undefined,InPlay,Undefined,LineDrive,Single,0,0,ReportType:HE|Version:1|Revision:0,92.901064,-0.409876,-4.437717,1139.306058,288.37852,3:30,5.570451,3.238371,6.241559,-23.33662,8.839687,17.033152,3.24772,0.556846,83.807946,-4.853462,-1.192625,0.408263,83.54386,12.121348,-28.563771,302.698279,95.361261,12.548465,-54.827321,171.327046,171.166228,-30.853293,1.764526,-9.453406,6.55127,-2.915828,50,5.529016,9.941975,-134.812047,-1.680003,-19.572932,32.726756,-23.086447,GEO_BUL,HIG_PAN,Truist Park,College,CBB,4gu3rlnb,c0a8218c-fd4e-346b-b6e5-da40ec79d3c7,92.121331,13.44596,1.762492,9.072073,2.670494,3.352957,-0.583964,1.139278,3.223664,-0.512125,4gu3rlnb,3/4/2025,03:31.8,2025-03-04T15:03:31.8134687-05:00,2025-03-04T20:03:31.8134687Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,2a720baf-6b3b-41b4-be76-e525f1d3b35c,54.13506,-135.812158,16.363378,5.569576,-0.974494,-11.543223,-3.228788,10.540113,-9.786466,146.181561,-44.545844,118.204455,-12.186971,-13.970813,18.864904,-12.138915,4.430389,-0.866648,0.070208,-10.828746,39.69807,-9.666257,-17.395408,18.959653,-11.068718,3.64568,-0.618653,0.040212,23.126999,-59.220559,2.181551,4.416739,-4.809573,2.807821,-0.933543,0.162322,-0.011082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3/4/2025,04:47.9,2,1,"Harris, Zach",,Right,GEO_BUL,James Murphy,,Right,HIG_PAN,Stretch,1,Top,0,0,0,Slider,Undefined,HitByPitch,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,79.672873,1.819885,-0.889528,2304.662281,116.939679,10:00,5.494341,3.169681,6.393494,-44.424256,-0.998015,-9.269689,3.466519,1.579097,72.501412,-6.619858,-2.656533,0.474294,,,,,,,,,,,,4.234221,1.947514,-3.101589,50,5.604072,2.044115,-115.941932,2.515192,6.498855,23.768498,-33.670402,GEO_BUL,HIG_PAN,Truist Park,College,CBB,4gu3rlnb,579d3cd5-4606-3ca9-b564-005a8e06be08,79.51103,,,7.175325,2.914757,3.637014,-1.647886,,,,4gu3rlnb,3/4/2025,04:47.9,2025-03-04T15:04:47.8819434-05:00,2025-03-04T20:04:47.8819434Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,f534c4a3-5c73-4ff7-9af7-c6678a2f5b90,54.133274,-116.786194,11.884249,5.493492,3.711171,-16.835201,-3.170097,1.813275,3.249428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.002935,,15.624431,,,,,1.37912,6.719029,1.732874,,,,-2125.032598,200.851243,-4.271488,-3899.813044,470.701308,-14.165118,342.897146,-41.256381,1.246333,,,,,,,,
5,3/4/2025,05:30.3,3,1,"Harris, Zach",,Right,GEO_BUL,Three Hillier,,Left,HIG_PAN,Stretch,1,Top,0,0,0,Changeup,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,79.273852,-2.721665,-3.183407,1623.765101,248.539057,2:15,5.495249,3.124826,6.308301,-40.377049,3.738461,16.855566,-0.378338,1.594175,72.500638,-10.315839,0.031889,0.478043,,,,,,,,,,,,-9.011701,5.539263,-2.899564,50,5.276843,5.961578,-115.098279,-6.532676,-13.611666,23.703295,-28.284809,GEO_BUL,HIG_PAN,Truist Park,College,CBB,4gu3rlnb,cda16609-f956-3148-8013-725a2893d54b,78.768096,,,6.765467,4.061844,0.092978,-1.597037,,,,4gu3rlnb,3/4/2025,05:30.3,2025-03-04T15:05:30.3064900-05:00,2025-03-04T20:05:30.3064900Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,868699a3-7371-4716-890a-f073fe35bb56,54.134554,-115.946621,11.851647,5.492532,-5.520362,-14.142405,-3.121647,6.44874,-6.805833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3/4/2025,06:13.6,3,2,"Harris, Zach",,Right,GEO_BUL,Three Hillier,,Left,HIG_PAN,Stretch,1,Top,0,1,0,Sinker,Undefined,InPlay,Undefined,Popup,Out,1,0,ReportType:HE|Version:1|Revision:0,91.539712,-0.605489,-4.920981,2364.070319,231.841352,1:45,5.535921,3.412542,6.110543,-23.271149,9.841334,17.680879,3.036872,0.325071,82.769203,-5.026915,-1.560167,0.414159,86.871905,57.013432,-13.147531,4880.726792,96.489993,139.858223,-52.814284,178.497469,175.705572,-30.436942,6.178589,-9.853581,7.153657,-3.042858,50,5.478523,10.895095,-132.734487,-2.108996,-19.843863,30.933749,-22.259383,GEO_BUL,HIG_PAN,Truist Park,College,CBB,4gu3rlnb,ec84866e-9939-3905-85e2-5208b3ced52d,90.594835,143.117802,6.082668,8.728543,3.027695,3.176419,-0.370631,1.001423,2.962911,-0.252559,4gu3rlnb,3/4/2025,06:13.6,2025-03-04T15:06:13.5763378-05:00,2025-03-04T20:06:13.5763378Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,ed6c854d-6a40-403c-ab21-4ba839af9f4a,54.134566,-133.694574,15.466875,5.533258,-1.418134,-11.129692,-3.390565,11.510987,-9.921932,171.387909,-35.241731,103.885916,-48.547564,15.495289,-3.04735,0.378599,-0.031253,0.001866,-0.000064,-47.102052,127.735476,-21.519118,-4.404715,3.43403,-1.047211,0.16646,-0.01343,0.000437,5.686301,-12.636054,-4.831477,2.628285,-0.675554,0.079475,-0.00108,-0.000563,0.000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3/4/2025,06:56.1,4,1,"Harris, Zach",,Right,GEO_BUL,Landen Johnson,,Left,HIG_PAN,Stretch,1,Top,1,0,0,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.362141,-0.444779,-4.655881,2283.877915,214.09529,1:15,5.505908,3.493081,5.584318,-17.302952,14.456453,8.345747,3.648948,-0.168537,84.603039,-3.727195,-3.074168,0.405609,,,,,,,,,,,,-5.229807,9.234372,-3.096525,50,5.459799,10.765098,-135.34402,-1.587117,-10.994031,31.185918,-17.269529,GEO_BUL,HIG_PAN,Truist Park,College,CBB,4gu3rlnb,84c27501-f062-3959-a251-97eca83e37c5,91.634455,,,8.634548,1.430962,3.649858,0.167787,,,,4gu3rlnb,3/4/2025,06:56.1,2025-03-04T15:06:56.1467766-05:00,2025-03-04T20:06:56.1467766Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,cd888a3b-6a52-4e33-adad-448427e73c2b,54.133398,-136.293109,15.592959,5.500103,-1.06155,-8.634765,-3.429233,11.099682,-5.497016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.457274,,1.979843,,,,,-4.403983,4.952537,1.489479,,,,-252.112728,121.435939,-7.375896,-100.530053,75.334833,-13.04397,8.548317,-5.545573,1.084262,,,,,,,,
8,3/4/2025,07:17.3,4,2,"Harris, Zach",,Right,GEO_BUL,Landen Johnson,,Left,HIG_PAN,Stretch,1,Top,1,1,0,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,91.991542,-1.72779,-6.203199,2322.908076,222.887443,1:30,5.565473,3.278847,6.518717,-20.773693,11.722006,7.492282,2.248769,-1.810129,84.481861,-5.614113,-4.79714,0.410284,,,,,,,,,,,,-5.037332,8.291044,-2.849659,50,5.434902,14.254297,-133.25556,-4.675931,-10.39101,27.349148,-19.626878,GEO_BUL,HIG_PAN,Truist Park,College,CBB,4gu3rlnb,d4b8f7e6-67a5-3a89-a12d-b583fa4db3d8,92.127319,,,7.531206,2.949137,2.398241,1.680864,,,,4gu3rlnb,3/4/2025,07:17.3,2025-03-04T15:07:17.3132577-05:00,2025-03-04T20:07:17.3132577Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,fb62fd97-0d02-438d-8622-35ec48202d71,54.134066,-134.101345,13.674574,5.570122,-4.068961,-9.813439,-3.295448,14.575644,-5.195505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.684147,,1.867574,,,,,-4.010217,4.891335,2.112505,,,,-257.6324,132.196216,-9.155064,-100.100638,80.383696,-15.054186,15.492719,-8.329327,1.077898,,,,,,,,
9,3/4/2025,07:40.2,4,3,"Harris, Zach",,Right,GEO_BUL,Landen Johnson,,Left,HIG_PAN,Stretch,1,Top,1,2,0,Sinker,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.902939,-0.905541,-4.517782,2451.577483,230.046077,1:45,5.512195,3.24562,6.383179,-27.30305,4.971315,16.234007,2.40394,0.434286,83.712837,-6.102093,-1.420332,0.408884,,,,,,,,,,,,-9.141601,4.841152,-2.927887,50,5.434233,10.156024,-134.79231,-2.967803,-18.845786,33.691737,-26.652902,GEO_BUL,HIG_PAN,Truist Park,College,CBB,4gu3rlnb,00905944-4d3e-399c-9ce8-dbcc5a18708d,92.214441,,,9.193087,3.091761,2.580402,-0.477553,,,,4gu3rlnb,3/4/2025,07:40.2,2025-03-04T15:07:40.2147171-05:00,2025-03-04T20:07:40.2147171Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,d9e44512-227c-4ae5-b340-9e19ce8ed864,54.133992,-135.821683,16.845868,5.512467,-2.153486,-13.326451,-3.246977,10.731813,-9.422893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.091295,,1.586149,,,,,-3.791006,5.508602,0.292922,,,,-213.083175,121.782617,-8.458849,-58.076839,55.40349,-11.795086,15.577162,-13.528639,2.941047,,,,,,,,
10,3/4/2025,08:01.2,4,4,"Harris, Zach",,Right,GEO_BUL,Landen Johnson,,Left,HIG_PAN,Stretch,1,Top,1,2,1,Sinker,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.327616,-1.683822,-5.324565,2452.312958,228.749598,1:30,5.515231,3.275209,6.273364,-25.666398,6.857849,17.405459,1.823865,-0.196382,83.861884,-6.533231,-2.023394,0.410464,,,,,,,,,,,,-9.786406,5.979074,-2.889442,50,5.378457,11.940317,-133.802472,-4.729548,-20.08474,30.762656,-24.402194,GEO_BUL,HIG_PAN,Truist Park,College,CBB,4gu3rlnb,ffe4d83b-de86-37f7-b01f-ce27336bd971,91.676791,,,8.450767,1.95549,1.885511,0.177107,,,,4gu3rlnb,3/4/2025,08:01.2,2025-03-04T15:08:01.1602969-05:00,2025-03-04T20:08:01.1602969Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,62a114df-3059-4ad7-8649-f1ece64079f2,54.133523,-134.749463,15.381328,5.512488,-3.978356,-12.201097,-3.266527,12.558602,-10.04237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.874618,,1.755285,,,,,-4.116656,5.554667,0.488011,,,,-219.713213,116.48075,-7.818198,-75.047444,63.595226,-12.179832,4.427946,-4.755376,1.355733,,,,,,,,
