PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/5/2025,02:09.8,1,1,"Quinn, JT",,Right,GEO_BUL,"Freeman, Kaleb",,Left,GEO_PAN,Stretch,1,Top,0,0,0,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,94.441949,-1.91261,0.375503,2226.989257,197.47398,12:30,6.961689,0.238788,6.466093,-16.432296,14.063909,1.398032,3.835243,0.700137,86.801769,-5.013335,0.640349,0.397461,,,,,,,,,,,,-0.583945,9.269462,-0.265886,50,6.819207,-0.945844,-137.578188,-5.113582,-1.283003,29.288705,-16.357849,GEO_BUL,GEO_PAN,Truist Park,College,CBB,h7sr6527,83de14f3-bde1-3623-a594-fbd94d95eefb,95.007851,,,7.654303,1.901625,3.877656,-0.694727,,,,h7sr6527,3/5/2025,02:09.8,2025-03-05T15:02:09.8254760-05:00,2025-03-05T20:02:09.8254760Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,54cc426f-e3dd-4153-bc0c-f4e1543537a9,54.133771,-138.45542,14.644352,6.965028,-4.623644,-8.178924,-0.238133,-0.907416,-0.641502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.157292,,1.975935,,,,,-3.63487,5.24784,0.636061,,,,-194.262416,90.129524,-4.133822,-108.469828,82.730752,-14.669822,-4.42692,0.38676,0.735846,,,,,,,,
2,3/5/2025,02:27.4,1,2,"Quinn, JT",,Right,GEO_BUL,"Freeman, Kaleb",,Left,GEO_PAN,Stretch,1,Top,0,1,0,FourSeamFastball,Undefined,InPlay,Undefined,FlyBall,Out,1,0,ReportType:HE|Version:1|Revision:0,94.469758,-3.490605,-0.781947,2174.913322,204.059637,12:45,6.94709,0.141204,6.552409,-15.679246,14.775228,1.138396,2.436149,-0.480909,87.233694,-6.432311,-0.566703,0.397189,89.662579,46.038269,23.414157,3841.939417,101.468542,101.895102,42.481855,309.287151,306.582947,19.911565,5.842896,-0.720226,9.93863,-0.087865,50,6.698848,1.840303,-137.477698,-8.883057,-1.587161,28.175841,-14.842234,GEO_BUL,GEO_PAN,Truist Park,College,CBB,h7sr6527,840fd8c1-4ff5-3d50-bc4c-09530d7d9fe2,95.222585,124.079231,5.777871,7.261022,1.4458,2.439519,0.480613,1.457069,2.455038,0.486009,h7sr6527,3/5/2025,02:27.4,2025-03-05T15:02:27.3996292-05:00,2025-03-05T20:02:27.3996292Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,842f538c-f89d-4277-9ccc-fb879bb33c72,54.133464,-138.322251,14.08792,6.958444,-8.43817,-7.421117,-0.14374,1.887877,-0.79358,175.300298,-33.827001,97.074588,-22.159843,5.900729,-1.163234,0.178864,-0.021612,0.001748,-0.000065,-38.554085,111.914877,-22.542686,0.809156,0.430804,-0.191084,0.03378,-0.002765,0.000087,-16.131738,46.479124,-13.563379,3.931789,-0.87809,0.151591,-0.019263,0.001526,-0.000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3/5/2025,03:04.7,2,1,"Quinn, JT",,Right,GEO_BUL,"Maginnis, Michael",,Right,GEO_PAN,Stretch,1,Top,1,0,0,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,86.098819,-0.708742,1.274161,2421.798686,99.369292,9:15,6.860354,0.222099,6.471923,-36.16709,0.279408,-6.312807,3.195584,0.866264,80.047465,-7.49418,0.082496,0.43451,,,,,,,,,,,,3.296868,2.770729,-0.30869,50,6.793315,-2.608646,-125.511276,-2.601273,6.077166,22.683205,-31.645091,GEO_BUL,GEO_PAN,Truist Park,College,CBB,h7sr6527,c8cd43b5-9eab-3c51-af71-2db35438301b,86.915893,,,6.064089,3.65607,3.483993,-0.861922,,,,h7sr6527,3/5/2025,03:04.7,2025-03-05T15:03:04.7174919-05:00,2025-03-05T20:03:04.7174919Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,e725425a-2d22-4786-935f-a2c27da8420e,54.133271,-126.256058,11.341602,6.861667,-1.562236,-15.822545,-0.219762,-2.808184,3.038583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.095458,,1.660743,,,,,-3.422357,5.296333,1.155654,,,,-159.979602,82.755953,-3.835222,-95.966832,79.71159,-14.977538,-0.305089,0.285996,0.196242,,,,,,,,
4,3/5/2025,03:24.5,2,2,"Quinn, JT",,Right,GEO_BUL,"Maginnis, Michael",,Right,GEO_PAN,Stretch,1,Top,1,0,1,Slider,Undefined,InPlay,Undefined,GroundBall,Error,0,0,ReportType:HE|Version:1|Revision:0,85.264881,-1.923066,0.281722,2511.979909,97.554136,9:15,6.827166,0.218669,6.58375,-37.790678,-0.515933,-4.525129,1.915202,0.099728,79.333537,-8.995078,-0.573969,0.439419,93.909441,-33.858781,-29.352335,4770.83957,,,,4.008009,3.793792,-21.928234,0.025024,2.232588,2.718137,-0.235783,50,6.677784,-0.481458,-124.258872,-5.25393,4.018918,22.989742,-31.847446,GEO_BUL,GEO_PAN,Truist Park,College,CBB,h7sr6527,b6eefe72-97bf-30ac-ac44-6f5bc297e7ac,86.120267,1.910704,0.023118,5.95729,2.528983,2.08972,-0.110678,1.234541,1.910704,-0.100115,h7sr6527,3/5/2025,03:24.5,2025-03-05T15:03:24.4821098-05:00,2025-03-05T20:03:24.4821098Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,35042466-a811-4b92-821d-b2a14a74f0f6,54.133257,-125.021248,11.494871,6.834501,-4.19782,-15.923723,-0.217608,-0.614731,2.009459,180,-41.146082,81.796802,57.199363,-55.812985,,,,,,35.987809,-79.111336,6.785067,-6.190882,,,,,,23.73371,-46.000519,-32.167521,31.387856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3/5/2025,04:10.2,3,1,"Quinn, JT",,Right,GEO_BUL,"Bailey, Carter",,Right,GEO_PAN,Stretch,1,Top,1,0,0,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,82.491899,-0.777871,1.300884,2325.238455,91.385748,9:00,6.876321,0.297025,6.661244,-43.054678,-3.370712,-5.801537,2.576794,1.004003,76.972716,-8.835807,0.20571,0.453397,,,,,,,,,,,,3.057817,1.260189,-0.38145,50,6.803792,-2.570222,-120.281997,-2.829824,5.176772,20.827119,-34.622126,GEO_BUL,GEO_PAN,Truist Park,College,CBB,h7sr6527,fede2b8c-7811-35f9-9a99-da2de63321a4,83.586378,,,5.553299,2.511054,2.745169,-0.999827,,,,h7sr6527,3/5/2025,04:10.2,2025-03-05T15:04:10.1614052-05:00,2025-03-05T20:04:10.1614052Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,6214d31d-9d2e-42fe-9bae-2de699f09eeb,54.134678,-120.995808,10.413559,6.880445,-1.643213,-17.311063,-0.290319,-2.747647,2.588386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.965214,,1.949777,,,,,-2.783953,5.341991,1.28807,,,,-174.930033,80.98582,-3.891975,-112.986712,85.250729,-14.98528,-10.581983,6.979436,-0.848926,,,,,,,,
6,3/5/2025,04:37.1,3,2,"Quinn, JT",,Right,GEO_BUL,"Bailey, Carter",,Right,GEO_PAN,Stretch,1,Top,1,1,0,Sinker,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.818369,-3.981603,-0.721757,2111.901013,197.077135,12:30,6.836711,0.265252,6.779964,-17.19986,13.913434,13.875657,1.76279,0.762562,86.149221,-7.211045,1.911907,0.401462,,,,,,,,,,,,-6.849066,9.770345,-0.224862,50,6.569736,1.285594,-136.437378,-10.034269,-14.727059,30.043714,-15.692122,GEO_BUL,GEO_PAN,Truist Park,College,CBB,h7sr6527,0f4dd1ae-e1c7-347f-a830-ea39d68db0be,94.598862,,,7.728729,1.651026,1.79258,-0.754726,,,,h7sr6527,3/5/2025,04:37.1,2025-03-05T15:04:37.1012059-05:00,2025-03-05T20:04:37.1012059Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,f2c3f1e3-535a-4047-b86b-de62a4473b45,54.132919,-137.344438,15.021857,6.865532,-9.560503,-7.846061,-0.270388,1.730223,-7.363529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.124738,,1.957832,,,,,-3.169126,5.14308,1.166314,,,,-173.125009,80.450623,-3.56622,-109.52395,84.446726,-15.192867,-1.343197,0.353342,0.301078,,,,,,,,
7,3/5/2025,05:01.5,3,3,"Quinn, JT",,Right,GEO_BUL,"Bailey, Carter",,Right,GEO_PAN,Stretch,1,Top,1,1,1,Sinker,Undefined,InPlay,Undefined,GroundBall,Out,2,0,ReportType:HE|Version:1|Revision:0,93.884384,-4.074174,-0.67583,2044.155643,202.600953,12:45,6.922802,0.249071,6.755134,-16.439373,14.892203,11.076956,1.825725,0.554846,85.434065,-7.175978,1.436454,0.402868,97.882586,-17.265422,-16.842469,3071.805333,,,,5.642788,5.176545,-22.102676,0.039673,-5.525142,10.389075,-0.210035,50,6.64842,1.266072,-136.443847,-10.228838,-11.759787,32.631767,-14.553383,GEO_BUL,GEO_PAN,Truist Park,College,CBB,h7sr6527,446937df-7eca-304a-a7ee-3574f6e5a84b,94.225557,1.683515,0.036206,8.511479,2.043695,1.904462,-0.539282,0.061806,1.683515,-0.559218,h7sr6527,3/5/2025,05:01.5,2025-03-05T15:05:01.5406741-05:00,2025-03-05T20:05:01.5406741Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Jackson, Daniel",828714,Right,,f2ef1f68-cf13-44a9-afca-fdf474498b5c,54.134262,-137.429036,16.315884,6.950607,-9.789456,-7.276692,-0.253619,1.621113,-5.879893,180,-56.344416,137.500606,8.677638,-26.303732,,,,,,18.745627,-41.680584,4.872819,-9.681426,,,,,,16.516456,-41.625115,-2.626953,7.962844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3/5/2025,08:05.7,1,1,"McManmon, Quin",,Right,GEO_PAN,"Black, Ryan",,Left,GEO_BUL,Windup,1,Bottom,0,0,0,FourSeamFastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,91.774432,-4.633279,-1.136459,2350.705859,203.659237,12:45,7.142205,0.611057,6.595895,-11.15213,21.473574,10.842966,1.959183,0.473406,83.965982,-6.728677,0.922979,0.411104,,,,,,,,,,,,-5.496184,13.687703,-0.538703,50,6.820509,2.313576,-133.290001,-11.143975,-11.267168,28.943505,-8.641106,GEO_BUL,GEO_PAN,Truist Park,College,CBB,h7sr6527,d8b184c6-bdb6-3160-818a-66337f0ae21c,92.072767,,,7.841657,1.881683,2.013997,-0.465995,,,,h7sr6527,3/5/2025,08:05.6,2025-03-05T15:08:05.6542583-05:00,2025-03-05T20:08:05.6542583Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hynek, Colin",,Right,,fa81daf0-8130-484f-9523-93099d6ae6ac,54.13445,-134.18478,14.471752,7.160893,-10.876838,-4.320553,-0.615611,2.661897,-5.633584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.304227,,1.856102,,,,,-3.296011,5.192407,0.206882,,,,-146.884356,70.042261,-2.959412,-109.439077,85.670866,-15.486109,2.810008,-1.922505,0.34154,,,,,,,,
9,3/5/2025,08:20.4,1,2,"McManmon, Quin",,Right,GEO_PAN,"Black, Ryan",,Left,GEO_BUL,Windup,1,Bottom,0,0,1,FourSeamFastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,91.416961,-4.821862,-1.770582,2298.093232,204.137947,12:45,7.095345,0.682366,6.591278,-9.876999,22.998139,8.024699,1.844336,-0.271534,83.687958,-6.67492,-0.247865,0.412672,,,,,,,,,,,,-4.288104,14.47127,-0.565314,50,6.760827,3.85841,-132.708073,-11.499534,-8.728693,28.297649,-7.252142,GEO_BUL,GEO_PAN,Truist Park,College,CBB,h7sr6527,2090caed-c330-3692-a538-ddbaaae46334,91.716108,,,7.761151,3.127745,2.043527,0.263288,,,,h7sr6527,3/5/2025,08:20.4,2025-03-05T15:08:20.4021471-05:00,2025-03-05T20:08:20.4021471Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hynek, Colin",,Right,,918c0561-ea4d-4b8a-a94d-b61d2e9f248b,54.134908,-133.58686,14.148825,7.114449,-11.274318,-3.626071,-0.689347,4.129481,-4.364347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.460393,,2.025878,,,,,-4.182314,4.604829,0.531089,,,,-169.507714,75.838882,-3.298055,-129.546083,93.117916,-15.626252,10.131844,-6.607324,1.095016,,,,,,,,
10,3/5/2025,08:35.0,1,3,"McManmon, Quin",,Right,GEO_PAN,"Black, Ryan",,Left,GEO_BUL,Windup,1,Bottom,0,0,2,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.584171,-3.817587,-0.400289,2409.245507,204.904806,12:45,7.228782,0.583345,6.656386,-7.870795,24.019977,9.31747,3.07448,0.993493,84.839371,-5.299396,1.366787,0.406447,79.772463,39.693246,-110.287508,2814.59991,-38.305361,65.215386,-103.11504,275.078353,261.302489,-110.408186,4.135132,-4.573422,14.618452,-0.560871,50,6.968599,0.653223,-134.666648,-9.229219,-9.601044,28.742024,-6.021682,GEO_BUL,GEO_PAN,Truist Park,College,CBB,h7sr6527,b0eafab9-7ecd-3a68-a7dd-ac17a1dc5005,93.230056,70.492958,3.865029,7.786195,1.508244,3.083066,-0.991288,-0.293269,2.870988,-1.053879,h7sr6527,3/5/2025,08:35.0,2025-03-05T15:08:34.9543722-05:00,2025-03-05T20:08:34.9543722Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hynek, Colin",,Right,,d69232b0-e392-484a-a112-6d0543b72d55,54.13391,-135.54608,14.371012,7.248171,-9.044971,-3.010841,-0.585352,0.94699,-4.800522,179.14373,13.399628,-34.176955,4.127035,-0.765237,0.103451,-0.007372,0.000744,-0.000134,0.00001,-32.706828,95.361641,-26.465391,2.173202,0.141237,-0.17592,0.039888,-0.003752,0.000122,35.711078,-91.763949,11.080948,-2.054635,0.277763,-0.019793,0.001998,-0.00036,0.000026,56.362939,,3.879004,,,,,-2.669198,5.820818,1.809067,,,,-466.468102,134.987798,-6.244702,-297.983597,128.781723,-13.508418,63.539086,-26.322367,2.780993,,,,,,,,
